approach,fold,metric,num_solvers_in_schedule,result,scenario_name
sbs,4.0,number_unsolved_instances_True,,0.23,QBF-2011
oracle,4.0,par10,,84.17,QBF-2011
sbs,4.0,par10,,2851.51,QBF-2014
sbs,4.0,number_unsolved_instances_False,,0.31,QBF-2014
sbs,4.0,number_unsolved_instances_True,,0.31,QBF-2014
oracle,4.0,par10,,39.8,QBF-2014
sbs,4.0,par10,,1415.85,QBF-2016
sbs,4.0,number_unsolved_instances_False,,0.08,QBF-2016
sbs,4.0,number_unsolved_instances_True,,0.08,QBF-2016
oracle,4.0,par10,,9.59,QBF-2016
sbs,4.0,par10,,3823.68,SAT03-16_INDU
sbs,4.0,number_unsolved_instances_False,,0.08,SAT03-16_INDU
sbs,4.0,number_unsolved_instances_True,,0.09,SAT03-16_INDU
sbs,4.0,par10,,19095.01,SAT11-HAND
sbs,4.0,number_unsolved_instances_False,,0.36,SAT11-HAND
sbs,4.0,number_unsolved_instances_True,,0.36,SAT11-HAND
oracle,4.0,par10,,673.13,SAT11-HAND
sbs,4.0,par10,,9680.15,SAT11-INDU
sbs,4.0,number_unsolved_instances_False,,0.19,SAT11-INDU
sbs,4.0,number_unsolved_instances_True,,0.19,SAT11-INDU
oracle,4.0,par10,,534.71,SAT11-INDU
sbs,4.0,par10,,19209.09,SAT11-RAND
sbs,4.0,number_unsolved_instances_False,,0.39,SAT11-RAND
sbs,4.0,number_unsolved_instances_True,,0.38,SAT11-RAND
oracle,4.0,par10,,383.59,SAT11-RAND
sbs,4.0,par10,,2821.06,SAT12-ALL
sbs,4.0,number_unsolved_instances_False,,0.23,SAT12-ALL
sbs,4.0,number_unsolved_instances_True,,0.23,SAT12-ALL
oracle,4.0,par10,,109.7,SAT12-ALL
sbs,4.0,par10,,4315.56,SAT12-HAND
sbs,4.0,number_unsolved_instances_False,,0.35,SAT12-HAND
sbs,4.0,number_unsolved_instances_True,,0.35,SAT12-HAND
oracle,4.0,par10,,135.57,SAT12-HAND
sbs,4.0,par10,,1200.38,SAT12-INDU
sbs,4.0,number_unsolved_instances_False,,0.09,SAT12-INDU
sbs,4.0,number_unsolved_instances_True,,0.09,SAT12-INDU
